Filename,Time (seconds),Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
mhwgo.mp3,16.16109,0.0080,0.0664,1.0000,0.0765,0.1226,0.0000,0.0623,0.2644,0.0710,0.4157,0.0767,0.0508
mhwgo.mp3,16.34685,0.0013,0.0673,0.9439,0.0411,0.0483,0.0215,0.0641,0.0589,0.0054,1.0000,0.0798,0.0258
mhwgo.mp3,16.53261,0.0134,0.0639,0.5672,0.1517,0.0038,0.0448,0.0830,0.0229,0.0013,1.0000,0.0575,0.0645
mhwgo.mp3,16.71837,0.0056,0.0679,0.6418,0.2272,0.0359,0.0059,0.0822,0.0516,0.0149,1.0000,0.0883,0.0210
mhwgo.mp3,16.90413,0.0105,0.0547,0.6835,0.2460,0.0642,0.0385,0.0388,0.0102,0.0521,1.0000,0.0029,0.0877
mhwgo.mp3,17.08989,0.0180,0.0617,0.3348,0.1017,0.1311,0.0055,0.0416,0.0332,0.0039,1.0000,0.0896,0.0000
mhwgo.mp3,17.27565,0.0031,0.0926,0.2160,0.0733,0.1254,0.1403,0.1172,0.0809,0.0132,1.0000,0.0755,0.0763
mhwgo.mp3,17.46141,0.0104,0.0639,0.1728,0.1202,0.1322,0.0835,0.5872,0.0368,0.0426,1.0000,0.0870,0.1667
mhwgo.mp3,17.64717,0.0098,0.0652,0.1390,0.0410,0.1871,0.0793,0.3929,0.0408,0.0325,1.0000,0.0828,0.0922
mhwgo.mp3,17.83293,0.0081,0.0599,0.0612,0.0304,0.1963,0.0132,0.1818,0.0345,0.0032,1.0000,0.0358,0.0453
mhwgo.mp3,18.01868,0.0888,0.0160,0.4632,0.1940,0.1938,0.0302,0.1130,0.0640,0.1112,1.0000,0.0257,0.7285
mhwgo.mp3,18.20444,0.1426,0.0172,0.8950,0.2532,0.2464,0.0462,0.2569,0.0555,0.0704,1.0000,0.0209,0.9215
mhwgo.mp3,18.39020,0.0105,0.0324,0.7157,0.1792,0.0073,0.1509,0.0900,0.0608,0.0236,1.0000,0.0456,0.3146
mhwgo.mp3,18.57596,0.0123,0.2452,0.4697,0.0838,0.3174,0.1750,0.0320,0.0508,0.0589,1.0000,0.2251,0.1700
mhwgo.mp3,18.76172,1.0000,0.1540,0.0483,0.0662,0.6549,0.1570,0.0899,0.0210,0.1101,0.8514,0.0037,0.1855
mhwgo.mp3,18.94748,1.0000,0.0846,0.0631,0.0787,0.6000,0.0153,0.0108,0.6679,0.1380,0.1295,0.0591,0.1630
mhwgo.mp3,19.13324,0.6917,0.0193,0.0961,0.0917,0.3037,0.0438,0.0078,1.0000,0.0616,0.0201,0.0118,0.2341
mhwgo.mp3,19.31900,1.0000,0.0206,0.1407,0.0139,0.1903,0.0057,0.0304,0.8603,0.0668,0.0031,0.0108,0.0968
mhwgo.mp3,19.50476,1.0000,0.0225,0.0477,0.1202,0.1148,0.0070,0.0487,0.6035,0.0486,0.0134,0.0316,0.1277
mhwgo.mp3,19.69052,0.7045,0.0320,0.1362,0.1717,0.0468,0.0433,0.0599,1.0000,0.0000,0.1035,0.0110,0.1210
